iter	Passed	Remaining
920	13678	134836
921	13760	135484
922	13850	136204
923	13871	136253
924	13934	136705
925	13959	136794
926	14024	137265
927	14103	137870
928	14185	138508
929	14288	139353
930	14315	139447
931	14340	139523
932	14366	139618
933	14447	140237
934	14462	140212
935	14477	140196
936	14492	140174
937	14506	140148
938	14518	140095
939	14530	140047
940	14549	140069
941	14593	140328
942	14617	140394
943	14629	140342
944	14641	140292
945	14658	140290
946	14671	140252
947	14682	140197
948	14702	140221
949	14725	140279
950	14739	140254
951	14751	140203
952	14763	140154
953	14775	140101
954	14787	140053
955	14799	140005
956	14810	139950
957	14822	139900
958	14833	139847
959	14845	139794
960	14857	139743
961	14869	139703
962	14881	139651
963	14892	139598
964	14904	139548
965	14916	139499
966	14928	139451
967	14940	139402
968	14951	139350
969	14964	139311
970	14976	139260
971	14987	139208
972	14999	139157
973	15011	139108
974	15022	139053
975	15033	138998
976	15045	138947
977	15057	138908
978	15069	138857
979	15081	138806
980	15092	138755
981	15104	138704
982	15115	138654
983	15126	138600
984	15139	138563
985	15151	138512
986	15162	138462
987	15174	138414
988	15185	138362
989	15197	138308
990	15210	138273
991	15221	138224
992	15233	138176
993	15247	138145
994	15259	138100
995	15271	138056
996	15285	138027
997	15299	138003
998	15312	137965
999	15323	137915
1000	15334	137854
1001	15346	137811
1002	15359	137772
1003	15370	137724
1004	15381	137671
1005	15397	137657
1006	15409	137616
1007	15422	137575
1008	15435	137542
1009	15447	137497
1010	15458	137445
1011	15471	137408
1012	15483	137360
1013	15494	137311
1014	15505	137258
1015	15517	137212
1016	15528	137164
1017	15542	137132
1018	15555	137100
1019	15567	137052
1020	15579	137008
1021	15591	136963
1022	15602	136918
1023	15614	136868
1024	15626	136823
1025	15639	136795
1026	15651	136749
1027	15663	136705
1028	15674	136656
1029	15689	136632
1030	15705	136625
1031	15720	136613
1032	15737	136610
1033	15757	136636
1034	15770	136604
1035	15782	136560
1036	15795	136519
1037	15808	136489
1038	15820	136444
1039	15832	136400
1040	15845	136365
1041	15858	136331
1042	15872	136305
1043	15887	136289
1044	15902	136273
1045	15918	136264
1046	15932	136244
1047	15945	136204
1048	15960	136191
1049	15973	136156
1050	15991	136159
1051	16007	136154
1052	16023	136144
1053	16035	136108
1054	16047	136062
1055	16060	136023
1056	16072	135984
1057	16084	135946
1058	16095	135891
1059	16109	135863
1060	16124	135851
1061	16139	135834
1062	16155	135820
1063	16171	135813
1064	16185	135787
1065	16200	135771
1066	16216	135763
1067	16230	135736
1068	16244	135712
1069	16256	135676
1070	16268	135634
1071	16280	135590
1072	16291	135543
1073	16305	135516
1074	16318	135480
1075	16329	135432
1076	16340	135379
1077	16356	135370
1078	16367	135326
1079	16379	135286
1080	16390	135232
1081	16401	135183
1082	16413	135138
1083	16425	135100
1084	16436	135051
1085	16447	135003
1086	16460	134968
1087	16471	134923
1088	16484	134886
1089	16502	134894
1090	16517	134883
1091	16530	134846
1092	16541	134797
1093	16552	134750
1094	16576	134810
1095	16591	134791
1096	16603	134750
1097	16615	134706
1098	16626	134662
1099	16639	134625
1100	16650	134577
1101	16661	134532
1102	16672	134485
1103	16684	134446
1104	16696	134403
1105	16707	134352
1106	16718	134306
1107	16729	134259
1108	16741	134217
1109	16754	134190
1110	16766	134149
1111	16778	134103
1112	16791	134073
1113	16802	134028
1114	16816	134002
1115	16829	133969
1116	16840	133922
1117	16851	133879
1118	16869	133884
1119	16893	133939
1120	16909	133929
1121	16935	134005
1122	16955	134027
1123	16974	134043
1124	17036	134398
1125	17163	135265
1126	17233	135678
1127	17304	136107
1128	17392	136656
1129	17435	136863
1130	17457	136895
1131	17486	136989
1132	17504	136993
1133	17526	137027
1134	17542	137014
1135	17559	137016
1136	17578	137029
1137	17617	137194
1138	17653	137334
1139	17672	137349
1140	17688	137341
1141	17705	137333
1142	17720	137317
1143	17736	137304
1144	17797	137639
1145	17842	137854
1146	17867	137905
1147	17916	138147
1148	17946	138244
1149	17964	138252
1150	17991	138317
1151	18018	138392
1152	18073	138679
1153	18105	138787
1154	18128	138826
1155	18154	138889
1156	18182	138967
1157	18205	139011
1158	18238	139128
1159	18285	139346
1160	18341	139635
1161	18368	139708
1162	18399	139807
1163	18429	139900
1164	18453	139943
1165	18472	139954
1166	18492	139966
1167	18511	139979
1168	18535	140026
1169	18560	140072
1170	18586	140139
1171	18698	140843
1172	18756	141146
1173	18825	141528
1174	18901	141960
1175	19002	142582
1176	19055	142846
1177	19156	143462
1178	19210	143727
1179	19250	143890
1180	19304	144152
1181	19343	144303
1182	19363	144315
1183	19386	144350
1184	19449	144683
1185	19505	144956
1186	19523	144952
1187	19552	145032
1188	19577	145077
1189	19623	145279
1190	19665	145450
1191	19724	145750
1192	19746	145773
1193	19772	145828
1194	19794	145847
1195	19813	145850
1196	19833	145857
1197	19849	145840
1198	19955	146478
1199	20009	146739
1200	20034	146779
1201	20152	147505
1202	20177	147551
1203	20252	147960
1204	20286	148066
1205	20322	148192
1206	20355	148289
1207	20440	148772
1208	20492	149010
1209	20515	149034
1210	20548	149134
1211	20573	149176
1212	20598	149214
1213	20614	149194
1214	20633	149191
1215	20660	149243
1216	20707	149445
1217	20730	149467
1218	20750	149473
1219	20773	149501
1220	20789	149477
1221	20812	149503
1222	20838	149552
1223	20867	149616
1224	20893	149668
1225	20915	149685
1226	20940	149720
1227	20978	149856
1228	21014	149970
1229	21032	149966
1230	21053	149971
1231	21070	149953
1232	21104	150060
1233	21131	150112
1234	21150	150107
1235	21176	150152
1236	21200	150186
1237	21222	150205
1238	21244	150220
1239	21288	150395
1240	21310	150413
1241	21338	150467
1242	21357	150464
1243	21382	150504
1244	21402	150507
1245	21419	150488
1246	21437	150472
1247	21450	150426
1248	21466	150405
1249	21484	150389
1250	21497	150346
1251	21515	150332
1252	21534	150327
1253	21552	150314
1254	21571	150310
1255	21589	150302
1256	21607	150289
1257	21623	150264
1258	21639	150235
1259	21665	150280
1260	21695	150351
1261	21723	150410
1262	21745	150427
1263	21763	150417
1264	21785	150431
1265	21803	150420
1266	21820	150400
1267	21842	150414
1268	21856	150379
1269	21878	150389
1270	21904	150435
1271	21934	150509
1272	21952	150494
1273	21969	150475
1274	22001	150561
1275	22021	150563
1276	22041	150560
1277	22064	150586
1278	22088	150612
1279	22113	150645
1280	22135	150663
1281	22168	150752
1282	22197	150816
1283	22226	150880
1284	22245	150869
1285	22266	150875
1286	22293	150927
1287	22312	150919
1288	22343	150994
1289	22370	151046
1290	22402	151127
1291	22428	151167
1292	22445	151146
1293	22466	151152
1294	22482	151124
1295	22500	151114
1296	22513	151067
1297	22526	151018
1298	22539	150975
1299	22553	150934
1300	22567	150895
1301	22580	150848
1302	22595	150812
1303	22607	150762
1304	22620	150719
1305	22635	150683
1306	22648	150640
1307	22661	150592
1308	22674	150542
1309	22688	150508
1310	22712	150534
1311	22734	150543
1312	22752	150532
1313	22767	150501
1314	22778	150442
1315	22792	150400
1316	22805	150353
1317	22817	150301
1318	22830	150257
1319	22846	150230
1320	22861	150200
1321	22875	150159
1322	22895	150163
1323	22910	150128
1324	22924	150091
1325	22957	150178
1326	22981	150203
1327	23006	150238
1328	23022	150211
1329	23054	150285
1330	23082	150339
1331	23107	150370
1332	23145	150491
1333	23169	150518
1334	23201	150592
1335	23235	150680
1336	23272	150792
1337	23303	150862
1338	23354	151063
1339	23389	151159
1340	23442	151370
1341	23487	151531
1342	23536	151715
1343	23566	151777
1344	23606	151909
1345	23701	152383
1346	23838	153135
1347	23917	153509
1348	23948	153581
1349	23971	153596
1350	24004	153672
1351	24023	153665
1352	24048	153690
1353	24115	153987
1354	24152	154092
1355	24200	154266
1356	24222	154274
1357	24250	154322
1358	24270	154319
1359	24286	154293
1360	24314	154335
1361	24335	154340
1362	24360	154368
1363	24388	154410
1364	24412	154436
1365	24479	154728
1366	24601	155366
1367	24627	155400
1368	24653	155429
1369	24721	155730
1370	24764	155863
1371	24792	155911
1372	24816	155932
1373	24837	155928
1374	24862	155954
1375	24885	155965
1376	24911	156001
1377	24936	156023
1378	24971	156111
1379	24996	156140
1380	25017	156137
1381	25083	156415
1382	25112	156467
1383	25141	156515
1384	25170	156566
1385	25202	156634
1386	25226	156650
1387	25415	157691
1388	25556	158433
1389	25584	158476
1390	25648	158742
1391	25725	159083
1392	25760	159169
1393	25813	159360
1394	25851	159461
1395	25895	159601
1396	25937	159729
1397	26021	160111
1398	26100	160464
1399	26137	160556
1400	26167	160611
1401	26191	160621
1402	26255	160884
1403	26298	161011
1404	26345	161167
1405	26406	161404
1406	26485	161756
1407	26548	162007
1408	26580	162065
1409	26617	162160
1410	26632	162118
1411	26660	162153
1412	26682	162151
1413	26711	162193
1414	26771	162425
1415	26796	162441
1416	26872	162770
1417	26902	162819
1418	26929	162846
1419	26962	162915
1420	27000	163009
1421	27020	162998
1422	27043	162999
1423	27059	162967
1424	27082	162972
1425	27097	162924
1426	27122	162942
1427	27139	162915
1428	27156	162881
1429	27179	162884
1430	27200	162880
1431	27224	162889
1432	27256	162951
1433	27273	162917
1434	27287	162867
1435	27299	162807
1436	27311	162745
1437	27322	162680
1438	27334	162623
1439	27347	162563
1440	27360	162509
1441	27373	162454
1442	27385	162395
1443	27397	162333
1444	27409	162273
1445	27421	162218
1446	27442	162207
1447	27467	162226
1448	27489	162225
1449	27512	162231
1450	27531	162208
1451	27553	162207
1452	27590	162296
1453	27622	162353
1454	27646	162366
1455	27848	163420
1456	27871	163424
1457	27907	163502
1458	27936	163543
1459	28009	163834
1460	28040	163887
1461	28074	163955
1462	28096	163949
1463	28117	163942
1464	28143	163961
1465	28159	163924
1466	28175	163887
1467	28194	163864
1468	28220	163885
1469	28262	164002
1470	28288	164018
1471	28324	164094
1472	28353	164131
1473	28381	164167
1474	28397	164129
1475	28411	164081
1476	28424	164021
1477	28435	163957
1478	28447	163893
1479	28458	163826
1480	28483	163840
1481	28498	163798
1482	28512	163750
1483	28524	163690
1484	28538	163638
1485	28552	163590
1486	28572	163575
1487	28584	163515
1488	28596	163455
1489	28608	163392
1490	28619	163327
1491	28633	163278
1492	28652	163259
1493	28687	163327
1494	28704	163300
1495	28720	163264
1496	28740	163244
1497	28760	163231
1498	28785	163243
1499	28808	163245
1500	28828	163232
1501	28848	163219
1502	28871	163220
1503	28902	163268
1504	28929	163293
1505	28948	163269
1506	28966	163247
1507	28990	163252
1508	29013	163253
1509	29039	163273
1510	29058	163256
1511	29073	163209
1512	29092	163190
1513	29122	163230
1514	29177	163411
1515	29197	163400
1516	29230	163456
1517	29247	163425
1518	29319	163701
1519	29464	164383
1520	29541	164684
1521	29579	164765
1522	29606	164789
1523	29628	164783
1524	29651	164784
1525	29682	164826
1526	30132	167196
1527	30267	167816
1528	30497	168963
1529	30700	169955
1530	30819	170481
1531	30970	171186
1532	31018	171318
1533	31044	171333
1534	31079	171393
1535	31096	171355
1536	31116	171332
1537	31132	171287
1538	31224	171662
1539	31245	171649
1540	31342	172047
1541	31375	172097
1542	31399	172096
1543	31435	172163
1544	31464	172186
1545	31500	172252
1546	31554	172417
1547	31590	172481
1548	31610	172460
1549	31627	172418
1550	31641	172364
1551	31659	172333
1552	31676	172293
1553	31698	172283
1554	31730	172324
1555	31760	172354
1556	31810	172497
1557	31840	172524
1558	31922	172837
1559	31994	173097
1560	32025	173134
1561	32048	173128
1562	32070	173112
1563	32087	173073
1564	32108	173055
1565	32129	173038
1566	32148	173013
